Phone Number,cluster,Recommended_Plan_1,Plan_1_ID,Plan_1_Cluster,Plan_1_Price,Plan_1_Score,Plan_1_Coverage,Plan_1_Utilization,Plan_1_Price_Score,Plan_1_Cluster_Score,Plan_1_Overage_Penalty,Plan_1_Fully_Covered,Recommended_Plan_2,Plan_2_ID,Plan_2_Cluster,Plan_2_Price,Plan_2_Score,Plan_2_Coverage,Plan_2_Utilization,Plan_2_Price_Score,Plan_2_Cluster_Score,Plan_2_Overage_Penalty,Plan_2_Fully_Covered,Recommended_Plan_3,Plan_3_ID,Plan_3_Cluster,Plan_3_Price,Plan_3_Score,Plan_3_Coverage,Plan_3_Utilization,Plan_3_Price_Score,Plan_3_Cluster_Score,Plan_3_Overage_Penalty,Plan_3_Fully_Covered
363-1107,0,HH Value,C1-P4,0,47.43,0.8696,1.0,0.6314,0.7008,1,0.3022,True,HH Plus,C1-P5,0,51.51,0.8494,1.0,0.5927,0.6453,1,0.3632,True,HH Select,C1-P6,0,54.2,0.837,1.0,0.5706,0.6133,1,0.4056,True
363-1123,0,HH Plus,C1-P5,0,51.51,0.8907,1.0,0.7687,0.6453,1,0.2142,True,HH Select,C1-P6,0,54.2,0.8779,1.0,0.7419,0.6133,1,0.2535,True,HH Advance,C1-P7,0,58.5,0.8605,1.0,0.7006,0.5682,1,0.2979,True
363-1208,0,HH Starter,C1-P1,0,34.69,0.7684,0.7319,0.8425,0.9582,1,0.2128,False,HH Basic,C1-P2,0,39.29,0.7733,0.8043,0.8425,0.846,1,0.2128,False,HH Standard,C1-P3,0,42.72,0.7782,0.8548,0.8425,0.7781,1,0.2128,False
363-1366,1,MB Starter,C2-P1,1,33.24,0.7999,0.6663,1.0,1.0,1,0.0,False,MB Basic,C2-P2,1,37.32,0.8034,0.7327,1.0,0.8907,1,0.0,False,MB Standard,C2-P3,1,42.9,0.8247,0.8718,0.985,0.7748,1,0.008,False
363-1413,0,HH Starter,C1-P1,0,34.69,0.8147,0.7364,1.0,0.9582,1,0.0,False,HH Basic,C1-P2,0,39.29,0.8061,0.7865,0.9676,0.846,1,0.0186,False,HH Standard,C1-P3,0,42.72,0.7999,0.8159,0.9459,0.7781,1,0.0345,False
363-1560,0,HH Plus,C1-P5,0,51.51,0.8821,1.0,0.7227,0.6453,1,0.231,True,HH Select,C1-P6,0,54.2,0.8695,1.0,0.6944,0.6133,1,0.2668,True,HH Advance,C1-P7,0,58.5,0.8521,1.0,0.6512,0.5682,1,0.3084,True
363-1719,0,HH Plus,C1-P5,0,51.51,0.8781,1.0,0.7143,0.6453,1,0.258,True,HH Select,C1-P6,0,54.2,0.8653,1.0,0.6804,0.6133,1,0.2876,True,HH Advance,C1-P7,0,58.5,0.848,1.0,0.6407,0.5682,1,0.3339,True
363-2193,1,MB Standard,C2-P3,1,42.9,0.913,1.0,0.7629,0.7748,1,0.1763,True,MB Value,C2-P4,1,48.15,0.8831,1.0,0.6973,0.6903,1,0.2502,True,MB Plus,C2-P5,1,52.23,0.8632,1.0,0.6573,0.6364,1,0.3085,True
363-2407,0,HH Value,C1-P4,0,47.43,0.9062,1.0,0.7818,0.7008,1,0.1616,True,HH Plus,C1-P5,0,51.51,0.8854,1.0,0.7307,0.6453,1,0.2096,True,HH Select,C1-P6,0,54.2,0.873,1.0,0.7013,0.6133,1,0.2423,True
363-2602,0,HH Plus,C1-P5,0,51.51,0.8607,1.0,0.6377,0.6453,1,0.3177,True,HH Select,C1-P6,0,54.2,0.8479,1.0,0.6024,0.6133,1,0.3441,True,HH Advance,C1-P7,0,58.5,0.8307,1.0,0.5576,0.5682,1,0.3822,True
363-3295,1,MB Plus,C2-P5,1,52.23,0.91,1.0,0.8379,0.6364,1,0.1114,True,MB Starter,C2-P1,1,33.24,0.8351,0.7835,1.0,1.0,1,0.0,False,MB Basic,C2-P2,1,37.32,0.829,0.8347,0.9757,0.8907,1,0.0135,False
363-3469,0,HH Starter,C1-P1,0,34.69,0.8345,0.8024,1.0,0.9582,1,0.0,False,HH Basic,C1-P2,0,39.29,0.8244,0.8502,0.9639,0.846,1,0.0211,False,HH Standard,C1-P3,0,42.72,0.8188,0.8815,0.9425,0.7781,1,0.0373,False
363-3486,1,MB Starter,C2-P1,1,33.24,0.8278,0.7594,1.0,1.0,1,0.0,False,MB Basic,C2-P2,1,37.32,0.8324,0.8294,1.0,0.8907,1,0.0,False,MB Standard,C2-P3,1,42.9,0.8219,0.9092,0.9212,0.7748,1,0.0525,False
363-3515,0,HH Select,C1-P6,0,54.2,0.8881,1.0,0.7766,0.6133,1,0.204,True,HH Advance,C1-P7,0,58.5,0.8705,1.0,0.7281,0.5682,1,0.2391,True,HH Starter,C1-P1,0,34.69,0.8109,0.7856,0.9175,0.9582,1,0.0616,False
363-3571,0,HH Starter,C1-P1,0,34.69,0.838,0.8204,0.9909,0.9582,1,0.0047,False,HH Basic,C1-P2,0,39.29,0.8294,0.8689,0.9608,0.846,1,0.0233,False,HH Standard,C1-P3,0,42.72,0.8257,0.9037,0.9429,0.7781,1,0.0353,False
363-3763,1,MB Value,C2-P4,1,48.15,0.8588,1.0,0.633,0.6903,1,0.3974,True,MB Plus,C2-P5,1,52.23,0.8424,1.0,0.5979,0.6364,1,0.4271,True,MB Starter,C2-P1,1,33.24,0.8218,0.9037,0.8012,1.0,1,0.1945,False
363-3818,0,HH Value,C1-P4,0,47.43,0.9286,1.0,0.8727,0.7008,1,0.0739,True,HH Plus,C1-P5,0,51.51,0.9077,1.0,0.8163,0.6453,1,0.1157,True,HH Select,C1-P6,0,54.2,0.8951,1.0,0.7832,0.6133,1,0.1438,True
363-3911,1,MB Starter,C2-P1,1,33.24,0.8097,0.6988,1.0,1.0,1,0.0,False,MB Basic,C2-P2,1,37.32,0.8119,0.7609,1.0,0.8907,1,0.0,False,MB Standard,C2-P3,1,42.9,0.8001,0.8348,0.925,0.7748,1,0.0536,False
363-4005,0,HH Standard,C1-P3,0,42.72,0.9412,1.0,0.8838,0.7781,1,0.081,True,HH Value,C1-P4,0,47.43,0.8995,1.0,0.7551,0.7008,1,0.189,True,HH Plus,C1-P5,0,51.51,0.8786,1.0,0.7024,0.6453,1,0.2351,True
363-4779,1,MB Plus,C2-P5,1,52.23,0.8871,1.0,0.748,0.6364,1,0.2052,True,MB Starter,C2-P1,1,33.24,0.8522,0.8608,0.9707,1.0,1,0.0166,False,MB Basic,C2-P2,1,37.32,0.841,0.9036,0.9367,0.8907,1,0.0424,False
363-4967,0,HH Starter,C1-P1,0,34.69,0.8273,0.7785,1.0,0.9582,1,0.0,False,HH Basic,C1-P2,0,39.29,0.8269,0.8455,0.9823,0.846,1,0.0095,False,HH Standard,C1-P3,0,42.72,0.8166,0.8678,0.9492,0.7781,1,0.0285,False
363-5450,0,HH Value,C1-P4,0,47.43,0.917,1.0,0.8271,0.7008,1,0.1224,True,HH Plus,C1-P5,0,51.51,0.8961,1.0,0.774,0.6453,1,0.1682,True,HH Select,C1-P6,0,54.2,0.8835,1.0,0.7427,0.6133,1,0.1988,True
363-5819,0,HH Starter,C1-P1,0,34.69,0.7831,0.7354,0.875,0.9582,1,0.125,False,HH Basic,C1-P2,0,39.29,0.7881,0.808,0.875,0.846,1,0.125,False,HH Standard,C1-P3,0,42.72,0.7933,0.8596,0.875,0.7781,1,0.125,False
363-5853,1,MB Standard,C2-P3,1,42.9,0.9038,1.0,0.7328,0.7748,1,0.2236,True,MB Value,C2-P4,1,48.15,0.8735,1.0,0.6604,0.6903,1,0.291,True,MB Plus,C2-P5,1,52.23,0.8534,1.0,0.6143,0.6364,1,0.3418,True
363-5947,1,MB Starter,C2-P1,1,33.24,0.8221,0.7404,1.0,1.0,1,0.0,False,MB Basic,C2-P2,1,37.32,0.8258,0.8074,1.0,0.8907,1,0.0,False,MB Standard,C2-P3,1,42.9,0.8122,0.8794,0.92,0.7748,1,0.0588,False
363-6695,0,HH Select,C1-P6,0,54.2,0.9003,1.0,0.8181,0.6133,1,0.1443,True,HH Advance,C1-P7,0,58.5,0.8825,1.0,0.7681,0.5682,1,0.1797,True,HH Starter,C1-P1,0,34.69,0.8292,0.7985,0.9802,0.9582,1,0.0108,False
363-6896,0,HH Plus,C1-P5,0,51.51,0.9096,1.0,0.8282,0.6453,1,0.1142,True,HH Select,C1-P6,0,54.2,0.8966,1.0,0.7904,0.6133,1,0.139,True,HH Advance,C1-P7,0,58.5,0.8793,1.0,0.7453,0.5682,1,0.1768,True
363-7802,0,HH Starter,C1-P1,0,34.69,0.8381,0.8145,1.0,0.9582,1,0.0,False,HH Basic,C1-P2,0,39.29,0.8377,0.8824,0.9808,0.846,1,0.0104,False,HH Standard,C1-P3,0,42.72,0.8325,0.9148,0.9581,0.7781,1,0.0236,False
363-7979,1,MB Plus,C2-P5,1,52.23,0.9215,1.0,0.8853,0.6364,1,0.0675,True,MB Starter,C2-P1,1,33.24,0.8189,0.7296,1.0,1.0,1,0.0,False,MB Basic,C2-P2,1,37.32,0.8235,0.7996,1.0,0.8907,1,0.0,False
363-8033,0,HH Starter,C1-P1,0,34.69,0.7801,0.6214,1.0,0.9582,1,0.0,False,HH Basic,C1-P2,0,39.29,0.7833,0.688,1.0,0.846,1,0.0,False,HH Standard,C1-P3,0,42.72,0.7871,0.7348,1.0,0.7781,1,0.0,False
363-8244,1,MB Plus,C2-P5,1,52.23,0.884,1.0,0.7578,0.6364,1,0.2517,True,MB Starter,C2-P1,1,33.24,0.8134,0.7942,0.895,1.0,1,0.0905,False,MB Basic,C2-P2,1,37.32,0.8188,0.8666,0.895,0.8907,1,0.0905,False
363-8424,1,MB Starter,C2-P1,1,33.24,0.8286,0.7681,0.9909,1.0,1,0.0047,False,MB Basic,C2-P2,1,37.32,0.8194,0.8108,0.9642,0.8907,1,0.0209,False,MB Standard,C2-P3,1,42.9,0.81,0.8917,0.8894,0.7748,1,0.071,False
363-8715,1,MB Plus,C2-P5,1,52.23,0.9226,1.0,0.8926,0.6364,1,0.0678,True,MB Starter,C2-P1,1,33.24,0.8187,0.7289,1.0,1.0,1,0.0,False,MB Basic,C2-P2,1,37.32,0.8248,0.8038,1.0,0.8907,1,0.0,False
363-8755,1,MB Value,C2-P4,1,48.15,0.903,1.0,0.7702,0.6903,1,0.1609,True,MB Plus,C2-P5,1,52.23,0.8828,1.0,0.7208,0.6364,1,0.2077,True,MB Starter,C2-P1,1,33.24,0.8703,0.9011,1.0,1.0,1,0.0,False
363-8824,1,MB Starter,C2-P1,1,33.24,0.8149,0.7353,0.9725,1.0,1,0.0154,False,MB Basic,C2-P2,1,37.32,0.8189,0.8032,0.9725,0.8907,1,0.0154,False,MB Standard,C2-P3,1,42.9,0.8009,0.8655,0.8928,0.7748,1,0.0885,False
363-9663,0,HH Advance,C1-P7,0,58.5,0.871,1.0,0.7278,0.5682,1,0.2339,True,HH Starter,C1-P1,0,34.69,0.8142,0.7903,0.925,0.9582,1,0.0536,False,HH Basic,C1-P2,0,39.29,0.8227,0.8747,0.925,0.846,1,0.0536,False
363-9969,0,HH Select,C1-P6,0,54.2,0.8532,1.0,0.6507,0.6133,1,0.3635,True,HH Advance,C1-P7,0,58.5,0.8358,1.0,0.6104,0.5682,1,0.4102,True,HH Starter,C1-P1,0,34.69,0.8338,0.9017,0.8639,0.9582,1,0.0998,False
364-1134,1,MB Value,C2-P4,1,48.15,0.9149,1.0,0.8239,0.6903,1,0.1222,True,MB Plus,C2-P5,1,52.23,0.8948,1.0,0.7741,0.6364,1,0.1682,True,MB Starter,C2-P1,1,33.24,0.8408,0.8228,0.9705,1.0,1,0.0167,False
364-1969,1,MB Starter,C2-P1,1,33.24,0.9457,1.0,0.7853,1.0,1,0.2209,True,MB Basic,C2-P2,1,37.32,0.9113,1.0,0.724,0.8907,1,0.3093,True,MB Standard,C2-P3,1,42.9,0.8633,1.0,0.5939,0.7748,1,0.4199,True
364-1995,0,HH Select,C1-P6,0,54.2,0.8705,1.0,0.6988,0.6133,1,0.2631,True,HH Advance,C1-P7,0,58.5,0.8532,1.0,0.6548,0.5682,1,0.3028,True,HH Starter,C1-P1,0,34.69,0.8423,0.8821,0.9254,0.9582,1,0.0489,False
364-2166,0,HH Value,C1-P4,0,47.43,0.8989,1.0,0.7666,0.7008,1,0.2117,True,HH Plus,C1-P5,0,51.51,0.8779,1.0,0.7171,0.6453,1,0.2645,True,HH Select,C1-P6,0,54.2,0.8653,1.0,0.6878,0.6133,1,0.299,True
364-2439,1,MB Starter,C2-P1,1,33.24,0.8154,0.7478,0.9575,1.0,1,0.0256,False,MB Basic,C2-P2,1,37.32,0.819,0.8144,0.9575,0.8907,1,0.0256,False,MB Standard,C2-P3,1,42.9,0.8037,0.881,0.8883,0.7748,1,0.1009,False
364-2495,0,HH Plus,C1-P5,0,51.51,0.9173,1.0,0.865,0.6453,1,0.0924,True,HH Select,C1-P6,0,54.2,0.9042,1.0,0.8256,0.6133,1,0.1162,True,HH Advance,C1-P7,0,58.5,0.8866,1.0,0.7763,0.5682,1,0.1508,True
364-3286,0,HH Select,C1-P6,0,54.2,0.8744,1.0,0.7176,0.6133,1,0.2523,True,HH Advance,C1-P7,0,58.5,0.8571,1.0,0.6737,0.5682,1,0.2921,True,HH Starter,C1-P1,0,34.69,0.8298,0.8497,0.9151,0.9582,1,0.0613,False
364-3567,1,MB Value,C2-P4,1,48.15,0.9305,1.0,0.8919,0.6903,1,0.0688,True,MB Plus,C2-P5,1,52.23,0.9099,1.0,0.8361,0.6364,1,0.1098,True,MB Starter,C2-P1,1,33.24,0.8344,0.7815,1.0,1.0,1,0.0,False
364-4927,1,MB Starter,C2-P1,1,33.24,0.8346,0.7975,0.9775,1.0,1,0.0124,False,MB Basic,C2-P2,1,37.32,0.8404,0.8715,0.9775,0.8907,1,0.0124,False,MB Standard,C2-P3,1,42.9,0.8214,0.9342,0.8908,0.7748,1,0.0867,False
364-5126,0,HH Plus,C1-P5,0,51.51,0.9123,1.0,0.839,0.6453,1,0.1037,True,HH Select,C1-P6,0,54.2,0.8995,1.0,0.8044,0.6133,1,0.131,True,HH Advance,C1-P7,0,58.5,0.8821,1.0,0.7574,0.5682,1,0.1675,True
364-5362,1,MB Plus,C2-P5,1,52.23,0.8898,1.0,0.7555,0.6364,1,0.1899,True,MB Starter,C2-P1,1,33.24,0.8486,0.8524,0.9653,1.0,1,0.0188,False,MB Basic,C2-P2,1,37.32,0.8412,0.9009,0.9389,0.8907,1,0.0352,False
364-5510,1,MB Starter,C2-P1,1,33.24,0.8486,0.8649,0.9471,1.0,1,0.0296,False,MB Basic,C2-P2,1,37.32,0.8387,0.9104,0.9134,0.8907,1,0.0505,False,MB Standard,C2-P3,1,42.9,0.7976,0.9283,0.7904,0.7748,1,0.1562,False
364-6381,0,HH Value,C1-P4,0,47.43,0.8743,1.0,0.6945,0.7008,1,0.35,True,HH Plus,C1-P5,0,51.51,0.8534,1.0,0.641,0.6453,1,0.3953,True,HH Select,C1-P6,0,54.2,0.8409,1.0,0.6098,0.6133,1,0.4258,True
364-6445,0,HH Value,C1-P4,0,47.43,0.8725,1.0,0.6759,0.7008,1,0.3404,True,HH Plus,C1-P5,0,51.51,0.8516,1.0,0.622,0.6453,1,0.385,True,HH Select,C1-P6,0,54.2,0.8391,1.0,0.5909,0.6133,1,0.4154,True
364-6801,0,HH Select,C1-P6,0,54.2,0.8706,1.0,0.6967,0.6133,1,0.2586,True,HH Advance,C1-P7,0,58.5,0.8533,1.0,0.6543,0.5682,1,0.3013,True,HH Starter,C1-P1,0,34.69,0.8574,0.9084,0.958,0.9582,1,0.0252,False
364-7622,0,HH Starter,C1-P1,0,34.69,0.8362,0.8211,0.9811,0.9582,1,0.0102,False,HH Basic,C1-P2,0,39.29,0.8242,0.8696,0.935,0.846,1,0.0388,False,HH Standard,C1-P3,0,42.72,0.8129,0.8919,0.8998,0.7781,1,0.0634,False
364-7644,1,MB Standard,C2-P3,1,42.9,0.924,1.0,0.8044,0.7748,1,0.1286,True,MB Value,C2-P4,1,48.15,0.8938,1.0,0.7295,0.6903,1,0.1923,True,MB Plus,C2-P5,1,52.23,0.8738,1.0,0.6827,0.6364,1,0.2411,True
364-7719,0,HH Value,C1-P4,0,47.43,0.8976,1.0,0.7494,0.7008,1,0.1994,True,HH Plus,C1-P5,0,51.51,0.8767,1.0,0.6951,0.6453,1,0.2432,True,HH Select,C1-P6,0,54.2,0.8641,1.0,0.6623,0.6133,1,0.272,True
364-8128,1,MB Plus,C2-P5,1,52.23,0.9083,1.0,0.8301,0.6364,1,0.1171,True,MB Starter,C2-P1,1,33.24,0.8357,0.7858,1.0,1.0,1,0.0,False,MB Basic,C2-P2,1,37.32,0.8387,0.8563,0.9912,0.8907,1,0.0046,False
364-8731,0,HH Value,C1-P4,0,47.43,0.8847,1.0,0.7026,0.7008,1,0.2587,True,HH Plus,C1-P5,0,51.51,0.8641,1.0,0.6606,0.6453,1,0.3177,True,HH Select,C1-P6,0,54.2,0.8517,1.0,0.6366,0.6133,1,0.3581,True
364-8774,0,HH Advance,C1-P7,0,58.5,0.8882,1.0,0.7886,0.5682,1,0.1537,True,HH Starter,C1-P1,0,34.69,0.8285,0.7849,0.9965,0.9582,1,0.0018,False,HH Basic,C1-P2,0,39.29,0.8238,0.8432,0.9705,0.846,1,0.0167,False
364-8981,0,HH Value,C1-P4,0,47.43,0.8953,1.0,0.7419,0.7008,1,0.2111,True,HH Plus,C1-P5,0,51.51,0.8746,1.0,0.6948,0.6453,1,0.2643,True,HH Select,C1-P6,0,54.2,0.8621,1.0,0.6681,0.6133,1,0.301,True
364-9040,1,MB Standard,C2-P3,1,42.9,0.9613,1.0,0.9758,0.7748,1,0.0126,True,MB Value,C2-P4,1,48.15,0.93,1.0,0.8868,0.6903,1,0.0654,True,MB Plus,C2-P5,1,52.23,0.9096,1.0,0.8315,0.6364,1,0.1062,True
364-9059,0,HH Plus,C1-P5,0,51.51,0.8913,1.0,0.7523,0.6453,1,0.1837,True,HH Select,C1-P6,0,54.2,0.8787,1.0,0.722,0.6133,1,0.2154,True,HH Advance,C1-P7,0,58.5,0.8616,1.0,0.6822,0.5682,1,0.2599,True
364-9240,0,HH Advance,C1-P7,0,58.5,0.8504,1.0,0.6794,0.5682,1,0.3674,True,HH Starter,C1-P1,0,34.69,0.808,0.8299,0.8571,0.9582,1,0.1322,False,HH Basic,C1-P2,0,39.29,0.7887,0.8585,0.817,0.846,1,0.1834,False
364-9425,1,MB Value,C2-P4,1,48.15,0.916,1.0,0.8292,0.6903,1,0.1194,True,MB Plus,C2-P5,1,52.23,0.8953,1.0,0.772,0.6364,1,0.1592,True,MB Starter,C2-P1,1,33.24,0.8458,0.8296,0.985,1.0,1,0.008,False
364-9567,1,MB Plus,C2-P5,1,52.23,0.9133,1.0,0.8474,0.6364,1,0.0926,True,MB Starter,C2-P1,1,33.24,0.8287,0.7625,1.0,1.0,1,0.0,False,MB Basic,C2-P2,1,37.32,0.8346,0.8368,1.0,0.8907,1,0.0,False
364-9904,0,HH Basic,C1-P2,0,39.29,0.9407,1.0,0.832,0.846,1,0.1095,True,HH Standard,C1-P3,0,42.72,0.9182,1.0,0.7758,0.7781,1,0.1492,True,HH Value,C1-P4,0,47.43,0.8774,1.0,0.6684,0.7008,1,0.2795,True
365-1664,0,HH Value,C1-P4,0,47.43,0.9234,1.0,0.8507,0.7008,1,0.0928,True,HH Plus,C1-P5,0,51.51,0.9025,1.0,0.7943,0.6453,1,0.135,True,HH Select,C1-P6,0,54.2,0.8899,1.0,0.7625,0.6133,1,0.1646,True
365-1688,0,HH Advance,C1-P7,0,58.5,0.8961,1.0,0.8249,0.5682,1,0.1287,True,HH Starter,C1-P1,0,34.69,0.8135,0.7462,0.98,0.9582,1,0.0109,False,HH Basic,C1-P2,0,39.29,0.819,0.8205,0.98,0.846,1,0.0109,False
365-2008,0,HH Advance,C1-P7,0,58.5,0.8809,1.0,0.7828,0.5682,1,0.2173,True,HH Starter,C1-P1,0,34.69,0.7942,0.7388,0.9075,0.9582,1,0.0734,False,HH Basic,C1-P2,0,39.29,0.7995,0.8127,0.9075,0.846,1,0.0734,False
365-2153,0,HH Value,C1-P4,0,47.43,0.9388,1.0,0.9205,0.7008,1,0.0439,True,HH Plus,C1-P5,0,51.51,0.9176,1.0,0.8611,0.6453,1,0.0835,True,HH Select,C1-P6,0,54.2,0.9049,1.0,0.8267,0.6133,1,0.1106,True
365-2192,1,MB Plus,C2-P5,1,52.23,0.8665,1.0,0.6833,0.6364,1,0.3147,True,MB Starter,C2-P1,1,33.24,0.7891,0.8088,0.81,1.0,1,0.25,False,MB Basic,C2-P2,1,37.32,0.795,0.8831,0.81,0.8907,1,0.25,False
365-2341,0,HH Starter,C1-P1,0,34.69,0.8266,0.7761,1.0,0.9582,1,0.0,False,HH Basic,C1-P2,0,39.29,0.8196,0.8294,0.9703,0.846,1,0.0169,False,HH Standard,C1-P3,0,42.72,0.8135,0.8593,0.9482,0.7781,1,0.0326,False
365-3493,0,HH Standard,C1-P3,0,42.72,0.9456,1.0,0.8984,0.7781,1,0.0583,True,HH Value,C1-P4,0,47.43,0.9041,1.0,0.7698,0.7008,1,0.1653,True,HH Plus,C1-P5,0,51.51,0.8832,1.0,0.7157,0.6453,1,0.2091,True
365-3562,0,HH Value,C1-P4,0,47.43,0.9117,1.0,0.8003,0.7008,1,0.1346,True,HH Plus,C1-P5,0,51.51,0.8909,1.0,0.7469,0.6453,1,0.1794,True,HH Select,C1-P6,0,54.2,0.8784,1.0,0.7171,0.6133,1,0.2115,True
365-4387,0,HH Value,C1-P4,0,47.43,0.898,1.0,0.7475,0.7008,1,0.1925,True,HH Plus,C1-P5,0,51.51,0.8772,1.0,0.6945,0.6453,1,0.2374,True,HH Select,C1-P6,0,54.2,0.8648,1.0,0.6646,0.6133,1,0.2689,True
365-4728,0,HH Plus,C1-P5,0,51.51,0.904,1.0,0.8046,0.6453,1,0.1344,True,HH Select,C1-P6,0,54.2,0.8912,1.0,0.7684,0.6133,1,0.1606,True,HH Advance,C1-P7,0,58.5,0.8739,1.0,0.7244,0.5682,1,0.1998,True
365-5039,1,MB Value,C2-P4,1,48.15,0.9049,1.0,0.8278,0.6903,1,0.2284,True,MB Plus,C2-P5,1,52.23,0.8838,1.0,0.7647,0.6364,1,0.2642,True,MB Starter,C2-P1,1,33.24,0.8052,0.7769,0.885,1.0,1,0.1065,False
365-5629,1,MB Value,C2-P4,1,48.15,0.8727,1.0,0.677,0.6903,1,0.3239,True,MB Plus,C2-P5,1,52.23,0.852,1.0,0.6354,0.6364,1,0.3878,True,MB Starter,C2-P1,1,33.24,0.855,0.933,0.8948,1.0,1,0.0909,False
365-5682,2,EM Starter,C3-P1,2,51.09,0.8046,0.9202,0.9087,0.6506,1,0.0539,False,EM Basic,C3-P2,2,51.74,0.8014,0.9202,0.9,0.6424,1,0.0599,False,EM Standard,C3-P3,2,54.3,0.7973,0.9344,0.882,0.6122,1,0.0716,False
365-5886,0,HH Starter,C1-P1,0,34.69,0.7939,0.7356,0.91,0.9582,1,0.0703,False,HH Basic,C1-P2,0,39.29,0.799,0.8086,0.91,0.846,1,0.0703,False,HH Standard,C1-P3,0,42.72,0.8046,0.8614,0.91,0.7781,1,0.0703,False
365-5979,0,HH Starter,C1-P1,0,34.69,0.799,0.6844,1.0,0.9582,1,0.0,False,HH Basic,C1-P2,0,39.29,0.8055,0.762,1.0,0.846,1,0.0,False,HH Standard,C1-P3,0,42.72,0.8087,0.8108,0.9938,0.7781,1,0.0032,False
365-6022,1,MB Standard,C2-P3,1,42.9,0.8995,1.0,0.7523,0.7748,1,0.2958,True,MB Value,C2-P4,1,48.15,0.8688,1.0,0.6713,0.6903,1,0.3541,True,MB Plus,C2-P5,1,52.23,0.8487,1.0,0.6208,0.6364,1,0.3989,True
365-6205,0,HH Advance,C1-P7,0,58.5,0.881,1.0,0.7574,0.5682,1,0.1788,True,HH Starter,C1-P1,0,34.69,0.8401,0.8212,1.0,0.9582,1,0.0,False,HH Basic,C1-P2,0,39.29,0.8393,0.8882,0.98,0.846,1,0.0108,False
365-6756,1,MB Plus,C2-P5,1,52.23,0.8816,1.0,0.724,0.6364,1,0.2251,True,MB Starter,C2-P1,1,33.24,0.8447,0.8597,0.9371,1.0,1,0.0375,False,MB Basic,C2-P2,1,37.32,0.8404,0.9159,0.9148,0.8907,1,0.0515,False
365-7774,1,MB Starter,C2-P1,1,33.24,0.8235,0.7451,1.0,1.0,1,0.0,False,MB Basic,C2-P2,1,37.32,0.8288,0.8175,1.0,0.8907,1,0.0,False,MB Standard,C2-P3,1,42.9,0.8212,0.9039,0.925,0.7748,1,0.0498,False
365-7784,1,MB Starter,C2-P1,1,33.24,0.8324,0.7799,0.9925,1.0,1,0.0039,False,MB Basic,C2-P2,1,37.32,0.8376,0.8517,0.9925,0.8907,1,0.0039,False,MB Standard,C2-P3,1,42.9,0.8215,0.9201,0.9082,0.7748,1,0.0701,False
365-8114,0,HH Plus,C1-P5,0,51.51,0.9097,1.0,0.8303,0.6453,1,0.1163,True,HH Select,C1-P6,0,54.2,0.8968,1.0,0.7941,0.6133,1,0.1427,True,HH Advance,C1-P7,0,58.5,0.8796,1.0,0.7505,0.5682,1,0.1825,True
365-8779,1,MB Plus,C2-P5,1,52.23,0.9059,1.0,0.8203,0.6364,1,0.1257,True,MB Starter,C2-P1,1,33.24,0.8322,0.7859,0.9825,1.0,1,0.0094,False,MB Basic,C2-P2,1,37.32,0.8376,0.8585,0.9825,0.8907,1,0.0094,False
365-8831,0,HH Plus,C1-P5,0,51.51,0.9065,1.0,0.8184,0.6453,1,0.1309,True,HH Select,C1-P6,0,54.2,0.8935,1.0,0.7812,0.6133,1,0.1564,True,HH Advance,C1-P7,0,58.5,0.8761,1.0,0.7349,0.5682,1,0.194,True
365-9011,1,MB Basic,C2-P2,1,37.32,0.9565,1.0,0.8736,0.8907,1,0.0816,True,MB Standard,C2-P3,1,42.9,0.9053,1.0,0.733,0.7748,1,0.2083,True,MB Value,C2-P4,1,48.15,0.8752,1.0,0.6615,0.6903,1,0.2754,True
365-9079,0,HH Plus,C1-P5,0,51.51,0.8962,1.0,0.7732,0.6453,1,0.1653,True,HH Select,C1-P6,0,54.2,0.8834,1.0,0.7372,0.6133,1,0.1913,True,HH Advance,C1-P7,0,58.5,0.8663,1.0,0.6944,0.5682,1,0.2311,True
365-9371,1,MB Value,C2-P4,1,48.15,0.9086,1.0,0.7926,0.6903,1,0.1383,True,MB Plus,C2-P5,1,52.23,0.8883,1.0,0.7397,0.6364,1,0.1816,True,MB Starter,C2-P1,1,33.24,0.8632,0.8774,1.0,1.0,1,0.0,False
365-9696,0,HH Select,C1-P6,0,54.2,0.885,1.0,0.7583,0.6133,1,0.2079,True,HH Advance,C1-P7,0,58.5,0.8674,1.0,0.7118,0.5682,1,0.2465,True,HH Starter,C1-P1,0,34.69,0.8329,0.8343,0.9479,0.9582,1,0.0329,False
366-1084,0,HH Starter,C1-P1,0,34.69,0.7897,0.6534,1.0,0.9582,1,0.0,False,HH Basic,C1-P2,0,39.29,0.7937,0.7227,1.0,0.846,1,0.0,False,HH Standard,C1-P3,0,42.72,0.798,0.7709,1.0,0.7781,1,0.0,False
366-1613,0,HH Starter,C1-P1,0,34.69,0.8121,0.7278,1.0,0.9582,1,0.0,False,HH Basic,C1-P2,0,39.29,0.8174,0.8016,1.0,0.846,1,0.0,False,HH Standard,C1-P3,0,42.72,0.8224,0.8524,1.0,0.7781,1,0.0,False
366-2212,1,MB Value,C2-P4,1,48.15,0.8883,1.0,0.716,0.6903,1,0.2266,True,MB Plus,C2-P5,1,52.23,0.8681,1.0,0.669,0.6364,1,0.2771,True,MB Starter,C2-P1,1,33.24,0.867,0.9289,0.9432,1.0,1,0.031,False
